County of residence,Population,At least one dose,At least one dose percent,Fully vaccinated,Fully vaccinated percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
Litchfield,180333,41685,23.12,20714,11.49,,,03/08/2021
Middlesex,162436,45190,27.82,23899,14.71,,,03/08/2021
New Haven,854757,187213,21.9,101640,11.89,,,03/08/2021
New London,265206,61321,23.12,32239,12.16,,,03/08/2021
Tolland,150721,31193,20.7,14941,9.91,,,03/08/2021
Windham,116782,22759,19.49,10854,9.29,,,03/08/2021
Residence out of state,,21224,,14073,,,,03/08/2021
Address pending validation,,12755,,6570,,,,03/08/2021
Total,3565287,790292,22.17,413157,11.59,,,03/08/2021
Fairfield,943332,212574,22.53,111486,11.82,,,03/15/2021
Hartford,891720,223891,25.11,120167,13.48,,,03/15/2021
Litchfield,180333,49754,27.59,25665,14.23,,,03/15/2021
Middlesex,162436,52099,32.07,28797,17.73,,,03/15/2021
New Haven,854757,219316,25.66,124316,14.54,,,03/15/2021
New London,265206,70239,26.48,39866,15.03,,,03/15/2021
Tolland,150721,37242,24.71,18511,12.28,,,03/15/2021
Windham,116782,27074,23.18,14620,12.52,,,03/15/2021
Residence out of state,,23546,,15480,,,,03/15/2021
Address pending validation,,13869,,7860,,,,03/15/2021
Fairfield,943332,249949,26.5,134726,14.28,,,03/22/2021
Hartford,891720,261195,29.29,148779,16.68,,,03/22/2021
Litchfield,180333,55556,30.81,31085,17.24,,,03/22/2021
Middlesex,162436,58828,36.22,34508,21.24,,,03/22/2021
New Haven,854757,247135,28.91,145993,17.08,,,03/22/2021
New London,265206,80003,30.17,47301,17.84,,,03/22/2021
Tolland,150721,43378,28.78,23751,15.76,,,03/22/2021
Windham,116782,30355,25.99,17622,15.09,,,03/22/2021
Resident out of state,,26058,,16784,,,,03/22/2021
Address pending validation,,8191,,5133,,,,03/22/2021
Fairfield,943332,295411,31.32,156677,16.61,,,03/31/2021
Hartford,891720,298967,33.53,177157,19.87,,,03/31/2021
Litchfield,180333,60830,33.73,36433,20.2,,,03/31/2021
Middlesex,162436,65773,40.49,40455,24.91,,,03/31/2021
New Haven,854757,279017,32.64,172861,20.22,,,03/31/2021
New London,265206,89888,33.89,56787,21.41,,,03/31/2021
Tolland,150721,48319,32.06,27894,18.51,,,03/31/2021
Windham,116782,33000,28.26,19992,17.12,,,03/31/2021
Resident out of state,,31277,,19698,,,,03/31/2021
Address pending validation,,8589,,5083,,,,03/31/2021
Total,3565287,1211071,33.97,713037,20,,,03/31/2021
Fairfield,943332,371357,39.37,203485,21.57,,,04/07/2021
Hartford,891720,363221,40.73,226788,25.43,,,04/07/2021
Litchfield,180333,73427,40.72,46903,26.01,,,04/07/2021
Middlesex,162436,78564,48.37,50730,31.23,,,04/07/2021
New Haven,854757,337177,39.45,216102,25.28,,,04/07/2021
New London,265206,106323,40.09,69857,26.34,,,04/07/2021
Tolland,150721,59410,39.42,37064,24.59,,,04/07/2021
Windham,116782,40404,34.6,25850,22.14,,,04/07/2021
Resident out of state,,37809,,23102,,,,04/07/2021
Address pending validation,,10589,,6430,,,,04/07/2021
Fairfield,943332,449180,47.62,264668,28.06,,,04/14/2021
Hartford,891720,439678,49.31,295005,33.08,,,04/14/2021
Litchfield,180333,86602,48.02,58872,32.65,,,04/14/2021
Middlesex,162436,92461,56.92,63115,38.86,,,04/14/2021
New Haven,854757,400616,46.87,270513,31.65,,,04/14/2021
New London,265206,125479,47.31,88956,33.54,,,04/14/2021
Tolland,150721,71562,47.48,47823,31.73,,,04/14/2021
Windham,116782,46440,39.77,32572,27.89,,,04/14/2021
Resident out of state,,45348,,27814,,,,04/14/2021
Address pending validation,,13186,,8696,,,,04/14/2021
Fairfield,943332,446219,47.3,263789,27.96,,,04/21/2021
Hartford,891720,427359,47.93,285267,31.99,,,04/21/2021
Litchfield,180333,85882,47.62,58073,32.2,,,04/21/2021
Middlesex,162436,89732,55.24,61498,37.86,,,04/21/2021
New Haven,854757,395866,46.31,263482,30.83,,,04/21/2021
New London,265206,122941,46.36,86394,32.58,,,04/21/2021
Tolland,150721,69494,46.11,45445,30.15,,,04/21/2021
Windham,116782,43745,37.46,30557,26.17,,,04/21/2021
Resident out of state,,46192,,27676,,,,04/21/2021
Address pending validation,,13572,,8697,,,,04/21/2021
Fairfield,943332,467203,49.53,306538,32.5,,,04/28/2021
Hartford,891720,443548,49.74,315833,35.42,,,04/28/2021
Litchfield,180333,89199,49.46,64371,35.7,,,04/28/2021
Middlesex,162436,93819,57.76,67948,41.83,,,04/28/2021
New Haven,854757,411143,48.1,293869,34.38,,,04/28/2021
New London,265206,126945,47.87,94958,35.81,,,04/28/2021
Tolland,150721,71160,47.21,51358,34.07,,,04/28/2021
Windham,116782,45058,38.58,33437,28.63,,,04/28/2021
Resident out of state,,50400,,31231,,,,04/28/2021
Address pending validation,,23485,,17684,,,,04/28/2021
Fairfield,943332,489602,51.9,349193,37.02,,,05/05/2021
Hartford,891720,460970,51.69,347554,38.98,,,05/05/2021
Litchfield,180333,92208,51.13,69967,38.8,,,05/05/2021
Middlesex,162436,97618,60.1,75152,46.27,,,05/05/2021
New Haven,854757,427676,50.03,324917,38.01,,,05/05/2021
New London,265206,131590,49.62,104196,39.29,,,05/05/2021
Tolland,150721,73632,48.85,56169,37.27,,,05/05/2021
Windham,116782,47225,40.44,35909,30.75,,,05/05/2021
