County of residence,Population,At least one dose,At least one dose percent,Fully vaccinated,Fully vaccinated percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
Address pending validation,,14477,,12371,,,,12/29/2021
Fairfield,943332,763099,80.89,667770,70.79,,,01/05/2022
Hartford,891720,680722,76.34,614588,68.92,,,01/05/2022
Litchfield,180333,138325,76.71,125779,69.75,,,01/05/2022
Middlesex,162436,133783,82.36,121457,74.77,,,01/05/2022
New Haven,854757,645047,75.47,581242,68,,,01/05/2022
New London,265206,196217,73.99,177410,66.9,,,01/05/2022
Tolland,150721,104581,69.39,95658,63.47,,,01/05/2022
Windham,116782,74295,63.62,66955,57.33,,,01/05/2022
Resident out of state,,141550,,81643,,,,01/05/2022
Address pending validation,,14285,,12135,,,,01/05/2022
Fairfield,943332,770694,81.7,672327,71.27,,,01/12/2022
Hartford,891720,686445,76.98,618576,69.37,,,01/12/2022
Litchfield,180333,139363,77.28,126494,70.14,,,01/12/2022
Middlesex,162436,134581,82.85,122140,75.19,,,01/12/2022
New Haven,854757,650589,76.11,584700,68.41,,,01/12/2022
New London,265206,198068,74.68,178444,67.29,,,01/12/2022
Tolland,150721,105325,69.88,96097,63.76,,,01/12/2022
Windham,116782,75077,64.29,67444,57.75,,,01/12/2022
Resident out of state,,145711,,82731,,,,01/12/2022
Address pending validation,,14174,,11953,,,,01/12/2022
Fairfield,943332,777197,82.39,675980,71.66,,,01/19/2022
Hartford,891720,691689,77.57,621703,69.72,,,01/19/2022
Litchfield,180333,140266,77.78,127027,70.44,,,01/19/2022
Middlesex,162436,135231,83.25,122592,75.47,,,01/19/2022
New Haven,854757,655618,76.7,587571,68.74,,,01/19/2022
New London,265206,199616,75.27,179233,67.58,,,01/19/2022
Tolland,150721,105998,70.33,96398,63.96,,,01/19/2022
Windham,116782,75603,64.74,67727,57.99,,,01/19/2022
Resident out of state,,148608,,83384,,,,01/19/2022
Address pending validation,,14102,,11807,,,,01/19/2022
Fairfield,943332,794423,84.21,703399,74.57,,,01/27/2022
Hartford,891720,698034,78.28,636856,71.42,,,01/27/2022
Litchfield,180333,141547,78.49,130262,72.23,,,01/27/2022
Middlesex,162436,136742,84.18,126953,78.16,,,01/27/2022
New Haven,854757,662007,77.45,600691,70.28,,,01/27/2022
New London,265206,202104,76.21,184613,69.61,,,01/27/2022
Tolland,150721,106733,70.81,98627,65.44,,,01/27/2022
Windham,116782,76374,65.4,69364,59.4,,,01/27/2022
Address pending validation,,14574,,12224,,,,01/27/2022
Fairfield,943332,797120,84.5,706522,74.9,,,02/02/2022
Hartford,891720,700836,78.59,640272,71.8,,,02/02/2022
Litchfield,180333,141861,78.67,130764,72.51,,,02/02/2022
Middlesex,162436,136955,84.31,127336,78.39,,,02/02/2022
New Haven,854757,664469,77.74,603541,70.61,,,02/02/2022
New London,265206,202663,76.42,185380,69.9,,,02/02/2022
Tolland,150721,107057,71.03,99052,65.72,,,02/02/2022
Windham,116782,76652,65.64,69821,59.79,,,02/02/2022
Address pending validation,,14570,,12169,,,,02/02/2022
Fairfield,943332,799568,84.76,710034,75.27,,,02/09/2022
Hartford,891720,703055,78.84,644286,72.25,,,02/09/2022
Litchfield,180333,142139,78.82,131207,72.76,,,02/09/2022
Middlesex,162436,137273,84.51,127884,78.73,,,02/09/2022
New Haven,854757,666564,77.98,606435,70.95,,,02/09/2022
New London,265206,203116,76.59,186147,70.19,,,02/09/2022
Tolland,150721,107321,71.21,99544,66.05,,,02/09/2022
Windham,116782,76856,65.81,70224,60.13,,,02/09/2022
Address pending validation,,14469,,12025,,,,02/09/2022
Fairfield,943332,802870,85.11,712931,75.58,,,02/17/2022
Hartford,891720,706019,79.17,647119,72.57,,,02/17/2022
Litchfield,180333,142527,79.04,131613,72.98,,,02/17/2022
Middlesex,162436,137775,84.82,128333,79.01,,,02/17/2022
New Haven,854757,669433,78.32,609016,71.25,,,02/17/2022
New London,265206,203788,76.84,186822,70.44,,,02/17/2022
Tolland,150721,107662,71.43,99873,66.26,,,02/17/2022
Windham,116782,77187,66.09,70566,60.43,,,02/17/2022
Address pending validation,,14484,,12042,,,,02/17/2022
Fairfield,943332,804865,85.32,715237,75.82,,,02/23/2022
Hartford,891720,707694,79.36,649347,72.82,,,02/23/2022
Litchfield,180333,142769,79.17,131912,73.15,,,02/23/2022
Middlesex,162436,138065,85,128646,79.2,,,02/23/2022
New Haven,854757,671035,78.51,610987,71.48,,,02/23/2022
New London,265206,204263,77.02,187365,70.65,,,02/23/2022
Tolland,150721,107858,71.56,100137,66.44,,,02/23/2022
Windham,116782,77417,66.29,70803,60.63,,,02/23/2022
Address pending validation,,14519,,12026,,,,02/23/2022
Fairfield,943332,806539,85.5,717106,76.02,,,03/02/2022
Hartford,891720,709031,79.51,651104,73.02,,,03/02/2022
Litchfield,180333,142886,79.23,132078,73.24,,,03/02/2022
Middlesex,162436,138161,85.06,128792,79.29,,,03/02/2022
New Haven,854757,672327,78.66,612516,71.66,,,03/02/2022
New London,265206,204563,77.13,187750,70.79,,,03/02/2022
Tolland,150721,108005,71.66,100298,66.55,,,03/02/2022
Windham,116782,77681,66.52,70986,60.79,,,03/02/2022
Address pending validation,,14699,,12129,,,,03/02/2022
Fairfield,943332,807765,85.63,718453,76.16,,,03/09/2022
Hartford,891720,710081,79.63,652331,73.15,,,03/09/2022
Litchfield,180333,143030,79.31,132241,73.33,,,03/09/2022
Middlesex,162436,138274,85.13,128942,79.38,,,03/09/2022
New Haven,854757,673510,78.8,613777,71.81,,,03/09/2022
New London,265206,204796,77.22,188063,70.91,,,03/09/2022
Tolland,150721,108196,71.79,100512,66.69,,,03/09/2022
Windham,116782,77823,66.64,71164,60.94,,,03/09/2022
Address pending validation,,14740,,12159,,,,03/09/2022
Fairfield,943332,808790,85.74,719568,76.28,,,03/16/2022
Hartford,891720,710791,79.71,653390,73.27,,,03/16/2022
Litchfield,180333,143098,79.35,132354,73.39,,,03/16/2022
Middlesex,162436,138415,85.21,129166,79.52,,,03/16/2022
New Haven,854757,674432,78.9,614903,71.94,,,03/16/2022
New London,265206,204824,77.23,188121,70.93,,,03/16/2022
Tolland,150721,108285,71.84,100630,66.77,,,03/16/2022
Windham,116782,77906,66.71,71284,61.04,,,03/16/2022
Address pending validation,,15283,,12664,,,,03/16/2022
Fairfield,943332,809258,85.79,720452,76.37,,,03/23/2022
Hartford,891720,712204,79.87,654928,73.45,,,03/23/2022
Litchfield,180333,143286,79.46,132598,73.53,,,03/23/2022
Middlesex,162436,138368,85.18,129231,79.56,,,03/23/2022
New Haven,854757,675060,78.98,615823,72.05,,,03/23/2022
New London,265206,205197,77.37,188560,71.1,,,03/23/2022
Tolland,150721,108289,71.85,100699,66.81,,,03/23/2022
Windham,116782,77985,66.78,71372,61.12,,,03/23/2022
Address pending validation,,14180,,11714,,,,03/23/2022
Fairfield,943332,810118,85.88,721567,76.49,,,03/30/2022
Hartford,891720,713171,79.98,656417,73.61,,,03/30/2022
Litchfield,180333,143381,79.51,132722,73.6,,,03/30/2022
Middlesex,162436,138407,85.21,129319,79.61,,,03/30/2022
New Haven,854757,675835,79.07,616782,72.16,,,03/30/2022
New London,265206,205362,77.43,188786,71.18,,,03/30/2022
Tolland,150721,108387,71.91,100836,66.9,,,03/30/2022
Windham,116782,78034,66.82,71461,61.19,,,03/30/2022
Address pending validation,,14210,,11734,,,,03/30/2022
Fairfield,943332,810943,85.97,723064,76.65,,,04/06/2022
Hartford,891720,713895,80.06,657486,73.73,,,04/06/2022
Litchfield,180333,143449,79.55,132875,73.68,,,04/06/2022
Middlesex,162436,138513,85.27,129465,79.7,,,04/06/2022
New Haven,854757,676487,79.14,617749,72.27,,,04/06/2022
New London,265206,205578,77.52,189052,71.28,,,04/06/2022
Tolland,150721,108466,71.96,100966,66.99,,,04/06/2022
Windham,116782,78084,66.86,71560,61.28,,,04/06/2022
Address pending validation,,14134,,11662,,,,04/06/2022
Fairfield,943332,811744,86.05,724229,76.77,,,04/13/2022
Hartford,891720,714524,80.13,658389,73.83,,,04/13/2022
Litchfield,180333,143509,79.58,133039,73.77,,,04/13/2022
Middlesex,162436,138592,85.32,129616,79.8,,,04/13/2022
New Haven,854757,677157,79.22,618734,72.39,,,04/13/2022
New London,265206,205756,77.58,189400,71.42,,,04/13/2022
Tolland,150721,108546,72.02,101117,67.09,,,04/13/2022
Windham,116782,78145,66.92,71653,61.36,,,04/13/2022
Address pending validation,,14074,,11589,,,,04/13/2022
Fairfield,943332,812490,86.13,725257,76.88,,,04/20/2022
Hartford,891720,715185,80.2,659250,73.93,,,04/20/2022
Litchfield,180333,143625,79.64,133176,73.85,,,04/20/2022
Middlesex,162436,138686,85.38,129753,79.88,,,04/20/2022
New Haven,854757,677731,79.29,619523,72.48,,,04/20/2022
New London,265206,205956,77.66,189698,71.53,,,04/20/2022
Tolland,150721,108618,72.07,101201,67.14,,,04/20/2022
Windham,116782,78205,66.97,71753,61.44,,,04/20/2022
Address pending validation,,14056,,11570,,,,04/20/2022
Fairfield,943332,813250,86.21,726267,76.99,384759,40.79,04/27/2022
Hartford,891720,715823,80.27,660076,74.02,376070,42.17,04/27/2022
Litchfield,180333,143732,79.7,133322,73.93,76780,42.58,04/27/2022
Middlesex,162436,138746,85.42,129852,79.94,81560,50.21,04/27/2022
New Haven,854757,678443,79.37,620405,72.58,345954,40.47,04/27/2022
New London,265206,206148,77.73,189939,71.62,109633,41.34,04/27/2022
Tolland,150721,108718,72.13,101338,67.24,61603,40.87,04/27/2022
Windham,116782,78278,67.03,71841,61.52,38066,32.6,04/27/2022
Address pending validation,,13987,,11458,,3603,,04/27/2022
Fairfield,943332,813080,86.19,727663,77.14,386802,41,05/04/2022
Hartford,891720,716203,80.32,661040,74.13,377705,42.36,05/04/2022
Litchfield,180333,143747,79.71,133462,74.01,77082,42.74,05/04/2022
Middlesex,162436,138810,85.46,129987,80.02,81868,50.4,05/04/2022
New Haven,854757,678664,79.4,621248,72.68,347524,40.66,05/04/2022
New London,265206,206306,77.79,190214,71.72,110048,41.5,05/04/2022
Tolland,150721,108773,72.17,101420,67.29,61777,40.99,05/04/2022
Windham,116782,78317,67.06,71922,61.59,38214,32.72,05/04/2022
Address pending validation,,13979,,11444,,3622,,05/04/2022
Fairfield,943332,812621,86.14,729232,77.3,388707,41.21,05/11/2022
Hartford,891720,716529,80.35,661978,74.24,379348,42.54,05/11/2022
Litchfield,180333,143795,79.74,133615,74.09,77377,42.91,05/11/2022
Middlesex,162436,138871,85.49,130128,80.11,82229,50.62,05/11/2022
New Haven,854757,678786,79.41,622246,72.8,349088,40.84,05/11/2022
New London,265206,206492,77.86,190478,71.82,110496,41.66,05/11/2022
Tolland,150721,108819,72.2,101512,67.35,61998,41.13,05/11/2022
Windham,116782,78341,67.08,72038,61.69,38399,32.88,05/11/2022
Address pending validation,,13886,,11393,,3611,,05/11/2022
Fairfield,943332,812580,86.14,730549,77.44,390716,41.42,05/18/2022
Hartford,891720,716706,80.37,662767,74.32,381149,42.74,05/18/2022
Litchfield,180333,143806,79.74,133719,74.15,77648,43.06,05/18/2022
Middlesex,162436,138907,85.51,130224,80.17,82509,50.79,05/18/2022
New Haven,854757,678858,79.42,622997,72.89,350563,41.01,05/18/2022
New London,265206,206589,77.9,190725,71.92,111007,41.86,05/18/2022
Tolland,150721,108816,72.2,101564,67.39,62187,41.26,05/18/2022
Windham,116782,78368,67.11,72119,61.76,38577,33.03,05/18/2022
Address pending validation,,13810,,11338,,3608,,05/18/2022
Fairfield,943332,812662,86.15,731549,77.55,393414,41.7,05/25/2022
Hartford,891720,716896,80.39,663779,74.44,383518,43.01,05/25/2022
Litchfield,180333,143759,79.72,133855,74.23,78040,43.28,05/25/2022
Middlesex,162436,138824,85.46,130382,80.27,83004,51.1,05/25/2022
New Haven,854757,678889,79.42,623652,72.96,352658,41.26,05/25/2022
New London,265206,206598,77.9,190910,71.99,111652,42.1,05/25/2022
Tolland,150721,108800,72.19,101634,67.43,62489,41.46,05/25/2022
Windham,116782,78351,67.09,72196,61.82,38780,33.21,05/25/2022
Address pending validation,,13712,,11257,,3609,,05/25/2022
Fairfield,957418,812405,84.85,732391,76.5,395866,41.35,06/01/2022
Hartford,899499,716579,79.66,664216,73.84,385322,42.84,06/01/2022
Litchfield,185186,143664,77.58,133937,72.33,78363,42.32,06/01/2022
Middlesex,164245,138682,84.44,130408,79.4,83332,50.74,06/01/2022
New Haven,864835,678604,78.47,624100,72.16,354478,40.99,06/01/2022
New London,268554,206557,76.91,191033,71.13,112122,41.75,06/01/2022
Tolland,149788,108747,72.6,101660,67.87,62758,41.9,06/01/2022
Windham,116419,78289,67.25,72233,62.05,38955,33.46,06/01/2022
Address pending validation,,13688,,11216,,3621,,06/01/2022
Fairfield,957418,811835,84.79,732954,76.56,398042,41.57,06/08/2022
Hartford,899499,716383,79.64,664732,73.9,387274,43.05,06/08/2022
Litchfield,185186,143583,77.53,134033,72.38,78753,42.53,06/08/2022
Middlesex,164245,138535,84.35,130426,79.41,83680,50.95,06/08/2022
New Haven,864835,678422,78.45,624614,72.22,356506,41.22,06/08/2022
New London,268554,206529,76.9,191174,71.19,113021,42.09,06/08/2022
Tolland,149788,108700,72.57,101739,67.92,63032,42.08,06/08/2022
Windham,116419,78302,67.26,72279,62.09,39211,33.68,06/08/2022
Address pending validation,,13598,,11163,,3619,,06/08/2022
Fairfield,957418,809496,84.55,731178,76.37,397742,41.54,06/15/2022
Hartford,899499,714823,79.47,663425,73.75,387099,43.03,06/15/2022
Litchfield,185186,143059,77.25,133583,72.13,78602,42.44,06/15/2022
Middlesex,164245,137207,83.54,129220,78.68,82920,50.49,06/15/2022
New Haven,864835,677145,78.3,623656,72.11,356793,41.26,06/15/2022
New London,268554,205438,76.5,190143,70.8,112540,41.91,06/15/2022
Tolland,149788,108363,72.34,101447,67.73,62911,42,06/15/2022
Windham,116419,78266,67.23,72265,62.07,39281,33.74,06/15/2022
Address pending validation,,12872,,10498,,3329,,06/15/2022
Fairfield,957418,809091,84.51,731250,76.38,399540,41.73,06/22/2022
Hartford,899499,715151,79.51,664198,73.84,388841,43.23,06/22/2022
Litchfield,185186,143072,77.26,133657,72.17,78937,42.63,06/22/2022
Middlesex,164245,137182,83.52,129344,78.75,83254,50.69,06/22/2022
New Haven,864835,677300,78.32,624077,72.16,358322,41.43,06/22/2022
New London,268554,205448,76.5,190225,70.83,112932,42.05,06/22/2022
Tolland,149788,108391,72.36,101500,67.76,63159,42.17,06/22/2022
Windham,116419,78267,67.23,72313,62.11,39420,33.86,06/22/2022
Address pending validation,,12772,,10413,,3310,,06/22/2022
Fairfield,957418,810363,84.64,731809,76.44,400920,41.88,06/29/2022
Hartford,899499,716279,79.63,664756,73.9,390209,43.38,06/29/2022
Litchfield,185186,143220,77.34,133752,72.23,79193,42.76,06/29/2022
Middlesex,164245,137350,83.63,129430,78.8,83509,50.84,06/29/2022
New Haven,864835,678402,78.44,624467,72.21,359501,41.57,06/29/2022
New London,268554,205700,76.6,190336,70.87,113303,42.19,06/29/2022
Tolland,149788,108526,72.45,101548,67.79,63343,42.29,06/29/2022
Windham,116419,78351,67.3,72355,62.15,39504,33.93,06/29/2022
Address pending validation,,12759,,10399,,3317,,06/29/2022
Fairfield,957418,812649,84.88,733339,76.6,402794,42.07,07/06/2022
Hartford,899499,717662,79.78,665600,74,391605,43.54,07/06/2022
Litchfield,185186,143382,77.43,133849,72.28,79366,42.86,07/06/2022
Middlesex,164245,137574,83.76,129532,78.87,83722,50.97,07/06/2022
New Haven,864835,679517,78.57,625250,72.3,360764,41.71,07/06/2022
New London,268554,206032,76.72,190531,70.95,113594,42.3,07/06/2022
Tolland,149788,108692,72.56,101653,67.86,63528,42.41,07/06/2022
Windham,116419,78412,67.35,72398,62.19,39572,33.99,07/06/2022
Address pending validation,,12744,,10382,,3322,,07/06/2022
Fairfield,957418,814031,85.02,733981,76.66,404235,42.22,07/14/2022
Hartford,899499,718810,79.91,666102,74.05,392771,43.67,07/14/2022
Litchfield,185186,143577,77.53,133972,72.34,79557,42.96,07/14/2022
Middlesex,164245,137755,83.87,129619,78.92,83944,51.11,07/14/2022
New Haven,864835,680599,78.7,625748,72.35,362024,41.86,07/14/2022
New London,268554,206308,76.82,190664,71,113904,42.41,07/14/2022
Tolland,149788,108851,72.67,101718,67.91,63699,42.53,07/14/2022
Windham,116419,78499,67.43,72454,62.24,39668,34.07,07/14/2022
Address pending validation,,12715,,10355,,3333,,07/14/2022
Fairfield,957418,815247,85.15,734753,76.74,405589,42.36,07/20/2022
Hartford,899499,719794,80.02,666963,74.15,394140,43.82,07/20/2022
Litchfield,185186,143737,77.62,134103,72.42,79766,43.07,07/20/2022
Middlesex,164245,137916,83.97,129752,79,84180,51.25,07/20/2022
New Haven,864835,681603,78.81,626377,72.43,363300,42.01,07/20/2022
New London,268554,206650,76.95,190922,71.09,114292,42.56,07/20/2022
Tolland,149788,108941,72.73,101816,67.97,63868,42.64,07/20/2022
Windham,116419,78577,67.49,72510,62.28,39774,34.16,07/20/2022
Address pending validation,,12685,,10323,,3317,,07/20/2022
Fairfield,957418,816279,85.26,735539,76.83,407492,42.56,07/27/2022
Hartford,899499,720767,80.13,667583,74.22,395983,44.02,07/27/2022
Litchfield,185186,143891,77.7,134241,72.49,80032,43.22,07/27/2022
Middlesex,164245,138055,84.05,129878,79.08,84607,51.51,07/27/2022
New Haven,864835,682411,78.91,627212,72.52,364925,42.2,07/27/2022
New London,268554,208715,77.72,193214,71.95,117511,43.76,07/27/2022
Tolland,149788,109111,72.84,101922,68.04,64183,42.85,07/27/2022
Windham,116419,79512,68.3,73650,63.26,40667,34.93,07/27/2022
Address pending validation,,12685,,10320,,3343,,07/27/2022
Address pending validation,,12650,,10309,,3343,,08/03/2022
Fairfield,957418,816733,85.31,736106,76.88,408685,42.69,08/03/2022
Hartford,899499,721431,80.2,668165,74.28,397258,44.16,08/03/2022
Litchfield,185186,143945,77.73,134324,72.53,80241,43.33,08/03/2022
Middlesex,164245,138113,84.09,129947,79.12,84799,51.63,08/03/2022
New Haven,864835,682857,78.96,627644,72.57,366008,42.32,08/03/2022
New London,268554,208840,77.76,193347,72,117836,43.88,08/03/2022
Tolland,149788,109144,72.87,101956,68.07,64366,42.97,08/03/2022
Windham,116419,79546,68.33,73684,63.29,40770,35.02,08/03/2022
Fairfield,957418,817225,85.36,736656,76.94,409822,42.8,08/10/2022
Hartford,899499,722091,80.28,668754,74.35,398500,44.3,08/10/2022
Litchfield,185186,144004,77.76,134358,72.55,80429,43.43,08/10/2022
Middlesex,164245,138155,84.12,130013,79.16,85015,51.76,08/10/2022
New Haven,864835,683372,79.02,628293,72.65,367096,42.45,08/10/2022
New London,268554,208972,77.81,193506,72.05,118133,43.99,08/10/2022
Tolland,149788,109188,72.9,102002,68.1,64539,43.09,08/10/2022
Windham,116419,79623,68.39,73722,63.32,40870,35.11,08/10/2022
Address pending validation,,12642,,10299,,3352,,08/10/2022
Fairfield,957418,817700,85.41,737241,77,410963,42.92,08/17/2022
Hartford,899499,722625,80.34,669269,74.4,399876,44.46,08/17/2022
Litchfield,185186,144032,77.78,134418,72.59,80648,43.55,08/17/2022
Middlesex,164245,138159,84.12,130067,79.19,85216,51.88,08/17/2022
New Haven,864835,683714,79.06,628828,72.71,368242,42.58,08/17/2022
New London,268554,209072,77.85,193625,72.1,118503,44.13,08/17/2022
Tolland,149788,109254,72.94,102045,68.13,64695,43.19,08/17/2022
Windham,116419,79679,68.44,73767,63.36,40989,35.21,08/17/2022
Address pending validation,,12625,,10283,,3364,,08/17/2022
Fairfield,957418,818303,85.47,737896,77.07,412301,43.06,08/24/2022
Hartford,899499,723176,80.4,669824,74.47,401325,44.62,08/24/2022
Litchfield,185186,144139,77.83,134507,72.63,80842,43.65,08/24/2022
Middlesex,164245,138201,84.14,130111,79.22,85483,52.05,08/24/2022
New Haven,864835,684062,79.1,629290,72.76,369329,42.71,08/24/2022
New London,268554,208926,77.8,193544,72.07,118768,44.22,08/24/2022
Tolland,149788,109349,73,102091,68.16,64903,43.33,08/24/2022
Windham,116419,79730,68.49,73807,63.4,41118,35.32,08/24/2022
Address pending validation,,12724,,10330,,3408,,08/24/2022
Fairfield,957418,818930,85.54,738456,77.13,413198,43.16,08/31/2022
Hartford,899499,723776,80.46,670306,74.52,402378,44.73,08/31/2022
Litchfield,185186,144171,77.85,134549,72.66,80983,43.73,08/31/2022
Middlesex,164245,138278,84.19,130185,79.26,85695,52.18,08/31/2022
New Haven,864835,684972,79.2,629947,72.84,370380,42.83,08/31/2022
New London,268554,209392,77.97,193968,72.23,119075,44.34,08/31/2022
Tolland,149788,109488,73.1,102128,68.18,65048,43.43,08/31/2022
Windham,116419,79815,68.56,73862,63.44,41226,35.41,08/31/2022
Address pending validation,,12705,,10321,,3413,,08/31/2022
Fairfield,957418,818963,85.54,738755,77.16,413560,43.2,09/07/2022
Hartford,899499,724022,80.49,670596,74.55,402828,44.78,09/07/2022
Litchfield,185186,144170,77.85,134578,72.67,81062,43.77,09/07/2022
Middlesex,164245,138283,84.19,130186,79.26,85740,52.2,09/07/2022
New Haven,864835,685241,79.23,630215,72.87,370726,42.87,09/07/2022
New London,268554,209397,77.97,194010,72.24,119194,44.38,09/07/2022
Tolland,149788,109478,73.09,102150,68.2,65118,43.47,09/07/2022
Windham,116419,79830,68.57,73897,63.48,41267,35.45,09/07/2022
Address pending validation,,12712,,10325,,3430,,09/07/2022
Fairfield,957418,819279,85.57,739439,77.23,414219,43.26,09/14/2022
Hartford,899499,724364,80.53,671287,74.63,403408,44.85,09/14/2022
Litchfield,185186,144157,77.84,134615,72.69,81158,43.83,09/14/2022
Middlesex,164245,138283,84.19,130282,79.32,85894,52.3,09/14/2022
New Haven,864835,685552,79.27,630730,72.93,371159,42.92,09/14/2022
New London,268554,209468,78,194190,72.31,119343,44.44,09/14/2022
Tolland,149788,109493,73.1,102236,68.25,65182,43.52,09/14/2022
Windham,116419,79887,68.62,73976,63.54,41339,35.51,09/14/2022
Address pending validation,,12695,,10323,,3455,,09/14/2022
Fairfield,957418,819494,85.59,740050,77.3,414766,43.32,09/21/2022
Hartford,899499,724611,80.56,671893,74.7,403934,44.91,09/21/2022
Litchfield,185186,144197,77.87,134735,72.76,81251,43.88,09/21/2022
Middlesex,164245,138335,84.22,130394,79.39,86021,52.37,09/21/2022
New Haven,864835,685864,79.31,631288,73,371646,42.97,09/21/2022
New London,268554,209552,78.03,194340,72.37,119489,44.49,09/21/2022
Tolland,149788,109505,73.11,102304,68.3,65278,43.58,09/21/2022
Windham,116419,79928,68.66,74029,63.59,41385,35.55,09/21/2022
Address pending validation,,12620,,10254,,3428,,09/21/2022
Fairfield,957418,819353,85.58,740460,77.34,414966,43.34,09/28/2022
Hartford,899499,724822,80.58,672409,74.75,404330,44.95,09/28/2022
Litchfield,185186,144370,77.96,134920,72.86,81428,43.97,09/28/2022
Middlesex,164245,138457,84.3,130559,79.49,86162,52.46,09/28/2022
New Haven,864835,685982,79.32,631617,73.03,371804,42.99,09/28/2022
New London,268554,209646,78.06,194518,72.43,119687,44.57,09/28/2022
Tolland,149788,109573,73.15,102441,68.39,65364,43.64,09/28/2022
Windham,116419,79980,68.7,74111,63.66,41459,35.61,09/28/2022
Address pending validation,,12502,,10157,,3382,,09/28/2022
Fairfield,957418,819372,85.58,741093,77.41,415575,43.41,10/05/2022
Hartford,899499,725142,80.62,673011,74.82,404942,45.02,10/05/2022
Litchfield,185186,144395,77.97,134983,72.89,81517,44.02,10/05/2022
Middlesex,164245,138507,84.33,130687,79.57,86311,52.55,10/05/2022
New Haven,864835,686154,79.34,632059,73.08,372293,43.05,10/05/2022
New London,268554,209655,78.07,194611,72.47,119809,44.61,10/05/2022
Tolland,149788,109617,73.18,102513,68.44,65452,43.7,10/05/2022
Windham,116419,80019,68.73,74180,63.72,41557,35.7,10/05/2022
Address pending validation,,12460,,10114,,3380,,10/05/2022
Fairfield,957418,819322,85.58,741527,77.45,416035,43.45,10/12/2022
Hartford,899499,725396,80.64,673573,74.88,405389,45.07,10/12/2022
Litchfield,185186,144406,77.98,135042,72.92,81587,44.06,10/12/2022
Middlesex,164245,138568,84.37,130813,79.65,86443,52.63,10/12/2022
New Haven,864835,686237,79.35,632380,73.12,372621,43.09,10/12/2022
New London,268554,209753,78.1,194771,72.53,119949,44.66,10/12/2022
Tolland,149788,109663,73.21,102633,68.52,65540,43.76,10/12/2022
Windham,116419,79992,68.71,74186,63.72,41568,35.71,10/12/2022
Address pending validation,,12393,,10057,,3367,,10/12/2022
Fairfield,957418,819252,85.57,741793,77.48,416374,43.49,10/19/2022
Hartford,899499,725404,80.65,673937,74.92,405648,45.1,10/19/2022
Litchfield,185186,144374,77.96,135065,72.93,81647,44.09,10/19/2022
Middlesex,164245,138721,84.46,131010,79.76,86620,52.74,10/19/2022
New Haven,864835,686232,79.35,632575,73.14,372804,43.11,10/19/2022
New London,268554,209794,78.12,194876,72.56,120083,44.71,10/19/2022
Tolland,149788,109813,73.31,102806,68.63,65702,43.86,10/19/2022
Windham,116419,79990,68.71,74200,63.74,41628,35.76,10/19/2022
Address pending validation,,12353,,10024,,3360,,10/19/2022
Fairfield,957418,818870,85.53,741757,77.47,416439,43.5,10/26/2022
Hartford,899499,725342,80.64,674143,74.95,405761,45.11,10/26/2022
Litchfield,185186,144369,77.96,135100,72.95,81668,44.1,10/26/2022
Middlesex,164245,138789,84.5,131119,79.83,86727,52.8,10/26/2022
New Haven,864835,686289,79.35,632790,73.17,373023,43.13,10/26/2022
New London,268554,209805,78.12,194954,72.59,120154,44.74,10/26/2022
Tolland,149788,109988,73.43,103000,68.76,65878,43.98,10/26/2022
Windham,116419,79940,68.67,74178,63.72,41641,35.77,10/26/2022
Address pending validation,,12370,,10061,,3402,,10/26/2022
Fairfield,957418,819380,85.58,742439,77.55,416998,43.55,11/03/2022
Litchfield,185186,144489,78.02,135237,73.03,81762,44.15,11/03/2022
Middlesex,164245,138896,84.57,131244,79.91,86844,52.87,11/03/2022
New Haven,864835,686538,79.38,633195,73.22,373321,43.17,11/03/2022
New London,268554,209853,78.14,195108,72.65,120274,44.79,11/03/2022
Tolland,149788,110077,73.49,103123,68.85,65974,44.04,11/03/2022
Windham,116419,79976,68.7,74238,63.77,41683,35.8,11/03/2022
Address pending validation,,12166,,9911,,3308,,11/03/2022
Hartford,899499,725829,80.69,674755,75.01,406154,45.15,11/03/2022
Fairfield,957418,819907,85.64,743181,77.62,417459,43.6,11/09/2022
Hartford,899499,726090,80.72,675127,75.06,406354,45.18,11/09/2022
Litchfield,185186,144344,77.95,135127,72.97,81741,44.14,11/09/2022
Middlesex,164245,138807,84.51,131203,79.88,86868,52.89,11/09/2022
New Haven,864835,686254,79.35,633078,73.2,373357,43.17,11/09/2022
New London,268554,209875,78.15,195157,72.67,120257,44.78,11/09/2022
Tolland,149788,110022,73.45,103097,68.83,65969,44.04,11/09/2022
Windham,116419,80102,68.8,74368,63.88,41755,35.87,11/09/2022
Address pending validation,,11877,,9649,,3218,,11/09/2022
Fairfield,957418,819562,85.6,743293,77.64,417726,43.63,11/16/2022
Hartford,899499,726107,80.72,675469,75.09,406643,45.21,11/16/2022
Litchfield,185186,144265,77.9,135132,72.97,81797,44.17,11/16/2022
Middlesex,164245,138886,84.56,131323,79.96,86988,52.96,11/16/2022
New Haven,864835,686173,79.34,633295,73.23,373574,43.2,11/16/2022
New London,268554,209823,78.13,195195,72.68,120350,44.81,11/16/2022
Tolland,149788,110218,73.58,103324,68.98,66172,44.18,11/16/2022
Windham,116419,80076,68.78,74373,63.88,41753,35.86,11/16/2022
Address pending validation,,11797,,9586,,3184,,11/16/2022
